Symbol,Name,Price,Change,% Change,Volume,Avg Vol(3 months),Market Cap
ABEV,Ambev S.A.,2.4200,-0.0200,-0.82%,13.626M,29.956M,38.158B
KGC,Kinross Gold Corporation,9.33,+0.03,+0.32%,13.07M,16.37M,11.728B
CVX,Chevron Corporation,78.56,+2.21,+2.89%,12.455M,8.904M,146.694B
CX,"CEMEX, S.A.B. de C.V.",3.9900,0.0000,0.00%,13.005M,7.479M,6.028B
PINS,"Pinterest, Inc.",37.13,-0.48,-1.28%,12.743M,16.386M,22.298B
VZ,Verizon Communications Inc.,60.37,-0.23,-0.38%,11.721M,14.156M,249.484B
LVS,Las Vegas Sands Corp.,49.67,-2.18,-4.20%,12.361M,6.259M,37.938B
KMI,"Kinder Morgan, Inc.",13.35,+0.44,+3.41%,15.189M,12.434M,30.218B
HPE,Hewlett Packard Enterprise Company,9.47,+0.19,+2.05%,11.797M,11.017M,12.182B
VER,"VEREIT, Inc.",7.14,+0.05,+0.71%,13.559M,10.496M,7.696B
SLB,Schlumberger Limited,19.18,+0.98,+5.38%,13.584M,12.315M,26.624B
GNW,"Genworth Financial, Inc.",3.4600,-0.0700,-1.98%,12.031M,6.043M,2.055B
QRTEA,"Qurate Retail, Inc.",6.89,+0.73,+11.85%,12.78M,4.375M,2.879B
PE,"Parsley Energy, Inc.",10.15,+0.58,+6.06%,11.317M,7.546M,4.19B
AEO,"American Eagle Outfitters, Inc.",15.39,+0.89,+6.14%,12.15M,7.355M,2.556B
RDS-A,Royal Dutch Shell plc,28.05,+0.21,+0.75%,11.401M,5.392M,106.929B
NLY,"Annaly Capital Management, Inc.",7.60,+0.14,+1.88%,13.429M,13.232M,10.662B
ALLY,Ally Financial Inc.,25.70,+0.90,+3.63%,9.881M,5.026M,9.608B
JBLU,JetBlue Airways Corporation,13.00,+0.38,+3.01%,10.815M,10.965M,3.542B
AIG,"American International Group, Inc.",29.77,+1.16,+4.05%,10.272M,6.383M,25.645B
CNQ,Canadian Natural Resources Limited,18.53,+0.69,+3.87%,10.492M,3.616M,21.928B
IMMU,"Immunomedics, Inc.",85.36,+0.61,+0.72%,11.163M,4.089M,19.732B
AVTR,"Avantor, Inc.",22.77,+1.01,+4.64%,11.292M,4.844M,13.13B
NVAX,"Novavax, Inc.",120.13,+9.79,+8.87%,10.743M,8.038M,7.361B
NUAN,"Nuance Communications, Inc.",33.20,+0.23,+0.70%,10.418M,3.786M,9.372B
TPR,"Tapestry, Inc.",18.10,+1.26,+7.48%,10.386M,5.862M,5B
APPS,"Digital Turbine, Inc.",32.23,+3.56,+12.42%,10.287M,3.962M,2.823B
